# Frequency(Hz) Real(n) Imag(n)
4.214724770465615234e+11 1.980566537475126676e+00 -5.862976253788846921e-04
4.230510256497321777e+11 1.980357980696182629e+00 -5.350188989788263365e-04
4.246295742529027710e+11 1.980145274272730571e+00 -4.336739721464892647e-04
4.262081228560734253e+11 1.979939350316045621e+00 -2.674263383093805884e-04
4.277866714592440796e+11 1.979763483182727324e+00 -1.943177875347115396e-05
4.293652200624147339e+11 1.979661615817272624e+00 3.207891431054807883e-04
4.309437686655853882e+11 1.979702237541260956e+00 7.347984887994716500e-04
4.325223172687559814e+11 1.988307881375786845e+00 4.783369638678199032e-02
4.341008658719266357e+11 1.978620520359878787e+00 4.777810730522830118e-02
4.356794144750972900e+11 1.969052204033890696e+00 4.839119287783275047e-02
4.372579630782679443e+11 1.981271601899188495e+00 1.157008887664962753e-03
4.388365116814385986e+11 1.981499673004291973e+00 8.708152030420333173e-04
4.404150602846092529e+11 1.981607373590270393e+00 5.848488491707453394e-04
4.419936088877798462e+11 1.981636220556197037e+00 3.278918845966964798e-04
4.435721574909505005e+11 1.981616358570551073e+00 1.049517993787305595e-04
4.451507060941211548e+11 1.981566121568366423e+00 -8.742353811511996127e-05
4.467292546972918091e+11 1.981495717725316297e+00 -2.544990483992470029e-04
4.483078033004624634e+11 1.981410371531630021e+00 -4.009742218526151226e-04
4.498863519036330566e+11 1.981312347142870411e+00 -5.303080926217408489e-04
4.514649005068037109e+11 1.981202133289264644e+00 -6.446247115640830463e-04
4.530434491099743652e+11 1.981079106670929457e+00 -7.447469957548540206e-04
4.546219977131450195e+11 1.980941900061049754e+00 -8.301734346958237381e-04
4.562005463163156738e+11 1.980788635330704928e+00 -8.989045297926313806e-04
4.577790949194862671e+11 1.980617166179234889e+00 -9.470478308735029351e-04
4.593576435226569214e+11 1.980425521897502650e+00 -9.681322663508941601e-04
4.609361921258275757e+11 1.980212876839690050e+00 -9.520922788403921597e-04
4.625147407289982300e+11 1.979981626577507647e+00 -8.840407072436813705e-04
4.640932893321688843e+11 1.979741520566106860e+00 -7.434783856832350227e-04
4.656718379353394775e+11 1.979516983610171810e+00 -5.059894811089822803e-04
4.672503865385101318e+11 1.979357411012935275e+00 -1.524115459195058645e-04
4.688289351416807861e+11 1.979343236404660145e+00 3.059224290174308229e-04
4.704074837448514404e+11 1.986471850429166741e+00 4.411342827338497752e-02
4.719860323480220947e+11 1.977568215583096700e+00 4.405902464054335665e-02
4.735645809511926880e+11 1.968756161212265265e+00 4.463665663841547004e-02
4.751431295543633423e+11 1.980999210274557720e+00 1.004263531639650302e-03
4.767216781575339966e+11 1.981291343352467482e+00 7.319741595296052738e-04
4.783002267607046509e+11 1.981453701873597151e+00 4.418836842987056016e-04
4.798787753638753052e+11 1.981525791557785299e+00 1.708230524301538201e-04
4.814573239670458984e+11 1.981538667560131417e+00 -7.067374197009073354e-05
4.830358725702165527e+11 1.981512586818842792e+00 -2.826825485335555748e-04
4.846144211733872070e+11 1.981459799114745124e+00 -4.686195859417384684e-04
4.861929697765578613e+11 1.981387318884529236e+00 -6.323270626855506714e-04
4.877715183797285156e+11 1.981298831579764164e+00 -7.770040991674134062e-04
4.893500669828991089e+11 1.981195877703430641e+00 -9.048381538667451228e-04
4.909286155860697632e+11 1.981078567791644263e+00 -1.016850672652688673e-03
4.925071641892404175e+11 1.980946028726974451e+00 -1.112744334409879274e-03
4.940857127924110718e+11 1.980796735095081695e+00 -1.190642288195194274e-03
4.956642613955817261e+11 1.980628874955390639e+00 -1.246643278529228080e-03
4.972428099987523193e+11 1.980440953259641201e+00 -1.274134049860435559e-03
4.988213586019229736e+11 1.980232970954829419e+00 -1.262857547385876035e-03
5.003999072050936279e+11 1.980008754572527785e+00 -1.197943358067448880e-03
5.019784558082642822e+11 1.979780295051265959e+00 -1.059710779116940400e-03
5.035570044114349365e+11 1.979574888633909735e+00 -8.265071547793402572e-04
5.051355530146055908e+11 1.979443964328340355e+00 -4.855660272629155503e-04
5.067141016177761841e+11 1.979464690113379666e+00 -5.912802551218618861e-05
5.082926502209468384e+11 1.984781710372336860e+00 4.095753902365414229e-02
5.098711988241174927e+11 1.976563000969414841e+00 4.099034675901504221e-02
5.114497474272881470e+11 1.968466686517590158e+00 4.159282962987737031e-02
5.130282960304588013e+11 1.981015243824846950e+00 4.123538119426001908e-04
5.146068446336293945e+11 1.981251557830480792e+00 1.387829420727155734e-04
5.161853932368000488e+11 1.981370545305905173e+00 -1.419288103860451755e-04
5.177639418399707031e+11 1.981408627146464596e+00 -3.997399606263810426e-04
5.193424904431413574e+11 1.981393823994162418e+00 -6.264418601793329692e-04
5.209210390463120117e+11 1.981344570918643244e+00 -8.226353550711494036e-04
5.224995876494826050e+11 1.981272269668428621e+00 -9.917306464942519245e-04
5.240781362526532593e+11 1.981183693496729070e+00 -1.137522506089186586e-03
5.256566848558239136e+11 1.981082633346467725e+00 -1.263292296652832568e-03
5.272352334589945679e+11 1.980970921039336252e+00 -1.371497875661748141e-03
5.288137820621652222e+11 1.980849043396935905e+00 -1.463646578198416533e-03
5.303923306653358154e+11 1.980716514837622677e+00 -1.540170246523323017e-03
5.319708792685064697e+11 1.980572135991896632e+00 -1.600205034591989806e-03
5.335494278716771240e+11 1.980414261975860457e+00 -1.641203101232467220e-03
5.351279764748477783e+11 1.980241251685597392e+00 -1.658311499312547892e-03
5.367065250780184326e+11 1.980052392701754815e+00 -1.643492831933474453e-03
5.382850736811890259e+11 1.979849820129053750e+00 -1.584533038771701726e-03
5.398636222843596802e+11 1.979642227196453552e+00 -1.464612992683695996e-03
5.414421708875303345e+11 1.979451125578826076e+00 -1.264429491564588587e-03
5.430207194907009888e+11 1.979318658758823402e+00 -9.712422465336154444e-04
5.445992680938716431e+11 1.979309103035213901e+00 -6.007778844430761069e-04
5.461778166970422363e+11 1.983454539727180554e+00 3.831939578686534981e-02
5.477563653002128906e+11 1.975869528424980537e+00 3.837404836539288350e-02
5.493349139033835449e+11 1.980224187238244893e+00 7.886728949094222018e-05
5.509134625065541992e+11 1.980559377212038674e+00 -2.824747071972550950e-05
5.524920111097248535e+11 1.980791429397623871e+00 -2.140572150631058065e-04
5.540705597128955078e+11 1.980933498052746655e+00 -4.206515175671578818e-04
5.556491083160661621e+11 1.981010573660654028e+00 -6.213335023591664815e-04
5.572276569192368164e+11 1.981043198589907073e+00 -8.073059410390960632e-04
5.588062055224073486e+11 1.981045079213859639e+00 -9.775955290357372495e-04
5.603847541255780029e+11 1.981024460461269676e+00 -1.133995789446663478e-03
5.619633027287486572e+11 1.980985796935908816e+00 -1.278848402538999276e-03
5.635418513319193115e+11 1.980930987433402457e+00 -1.414115633359733660e-03
5.651203999350899658e+11 1.980860174932812967e+00 -1.540974055144785516e-03
5.666989485382606201e+11 1.980772244165234230e+00 -1.659573667049504733e-03
5.682774971414312744e+11 1.980665143238246051e+00 -1.768787502836444755e-03
5.698560457446019287e+11 1.980536145235110013e+00 -1.865844969109539328e-03
5.714345943477725830e+11 1.980382188944181276e+00 -1.945763146835031206e-03
5.730131429509432373e+11 1.980200518157642531e+00 -2.000509120374703836e-03
5.745916915541137695e+11 1.979990001188824733e+00 -2.017905944043529940e-03
5.761702401572844238e+11 1.979753760642035454e+00 -1.980564597109918563e-03
5.777487887604550781e+11 1.979503960782738714e+00 -1.865835341792397486e-03
5.793273373636257324e+11 1.979269272152569759e+00 -1.649278780411067699e-03
5.809058859667963867e+11 1.979103166147448967e+00 -1.316504577896241953e-03
5.824844345699670410e+11 1.979083531916495220e+00 -8.891095318115651777e-04
5.840629831731376953e+11 1.979279574297181155e+00 -4.578626564428094135e-04
5.856415317763083496e+11 1.979672463095863311e+00 -1.689602621866140080e-04
5.872200803794790039e+11 1.980125741641923121e+00 -1.084207903083952193e-04
5.887986289826496582e+11 1.980504675789689584e+00 -2.296600709911525656e-04
5.903771775858201904e+11 1.980766124192057553e+00 -4.384091459863804921e-04
5.919557261889908447e+11 1.980925405830445296e+00 -6.696029331761741820e-04
5.935342747921614990e+11 1.981010513852669019e+00 -8.927894820155320415e-04
5.951128233953321533e+11 1.981044833023275054e+00 -1.097253464057419735e-03
5.966913719985028076e+11 1.981044580622137063e+00 -1.281213955193928958e-03
5.982699206016734619e+11 1.981020132278201062e+00 -1.446389617210317759e-03
5.998484692048441162e+11 1.980977682184728028e+00 -1.595540487908907613e-03
6.014270178080147705e+11 1.980920487828545795e+00 -1.731374799506303326e-03
